timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0;time;ac_supported;63.5;22.0;22.5
1520266357.4636443;beacon;40;64:66:b3:46:9b:d2;3;4;delftsestraatweg22_B;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:37;;;;
1520266357.9871988;beacon;20;b8:c7:5d:05:2e:87;10;4;CarloMiranda;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:37;;;;
1520266358.8435678;beacon;40;c4:04:15:07:28:cc;3;4;delftsestraatweg22_B_EXT;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:38;;;;
1520266358.8546798;beacon;20;ac:64:62:6d:ef:7c;3;4;Delftsestraatweg22;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:38;;;;
1520266359.6496384;beacon;20;c8:0e:14:46:e4:b0;6;6;FRITZ!Box Fon WLAN 7360;True;True;True;6.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:39;;;;
1520266360.8667579;beacon;20;b4:c7:99:0d:b0:42;1;4;99GwyBe3IT;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:40;;;;
1520266362.2389305;beacon;20;b4:c7:99:0d:b0:40;1;4;;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:42;;;;
1520266363.6090355;beacon;20;54:22:f8:13:98:7a;1;4;H368N13987A;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:43;;;;
1520266364.9798486;beacon;40;f4:06:8d:82:9b:6d;1;4;devolo-f4068d82ea0d;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:44;;;;
1520266365.099317;beacon;40;f4:06:8d:86:dd:e1;6;4;devolo-f4068d82ea0d;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:45;;;;
1520266365.9884841;beacon;20;74:b5:7e:3f:ca:8d;9;4;H369A3FCA8D;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:45;;;;
1520266367.741737;beacon;40;f4:06:8d:82:ea:0d;13;4;devolo-f4068d82ea0d;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:47;;;;
1520266369.0547705;beacon;40;00:1d:aa:9f:6a:1c;1;4;Harteveld;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:49;;;;
1520266370.0498612;beacon;20;94:a7:b7:4a:02:2c;9;4;H369A4A022C;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:50;;;;
1520266370.6399646;beacon;20;ac:64:62:6e:13:d0;6;4;H369A6E13D0;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:50;;;;
1520266371.3828716;beacon;20;62:a7:b7:4a:02:2d;9;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:51;;;;
1520266372.0430133;beacon;20;00:50:7f:c9:ba:ac;11;4;VrijNetwerk;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:52;;;;
1520266372.045511;beacon;20;00:50:7f:c9:ba:ad;11;4;QuartelPersoneel;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:52;;;;
1520266373.4623373;beacon;20;4c:09:d4:95:70:cf;11;4;VGV75199570CF;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:53;;;;
1520266374.4762626;beacon;20;00:1d:aa:24:c6:98;1;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:54;;;;
1520266374.4789941;beacon;20;00:1d:aa:24:c6:99;1;4;Camera;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:54;;;;
1520266374.481491;beacon;20;00:1d:aa:24:c6:9a;1;4;Camera1;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:54;;;;
1520266374.6732736;beacon;20;4c:09:d4:25:91:a3;6;4;David_Thuis;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:54;;;;
1520266374.8403358;beacon;20;4c:09:d4:39:f9:19;11;4;futurebikes;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:54;;;;
1520266378.5779288;beacon;20;fc:f5:28:93:ca:c4;1;4;Zy_private_YECMRA;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:12:58;;;;
1520266382.974827;beacon;20;28:ff:3e:1a:90:af;11;4;de Koning;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:02;;;;
1520266382.9766111;beacon;20;7a:ff:3e:1a:90:ac;11;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:02;;;;
1520266386.7099578;beacon;20;78:96:82:25:c2:2d;1;4;bertvanschie;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:06;;;;
1520266386.71174;beacon;20;6a:96:82:25:c2:2e;1;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:06;;;;
1520266387.56347;beacon;20;9c:80:df:26:8b:46;8;4;Shadow;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:07;;;;
1520266389.4617074;beacon;20;dc:02:8e:5c:e9:dc;1;4;H368N5CE9DC;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:09;;;;
1520266389.7348924;beacon;20;00:24:01:77:5d:87;6;4;Shadow;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:09;;;;
1520266391.7183926;beacon;20;a0:04:60:24:8b:48;8;4;Shadow_EXT;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:11;;;;
1520266393.8258982;beacon;20;4c:ac:0a:15:e9:aa;6;4;H220N15E9AA;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:13;;;;
1520266393.828121;beacon;20;52:ac:0a:15:e9:ab;6;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:13;;;;
1520266396.3320296;beacon;20;2c:95:7f:50:c1:79;1;4;Thomson0700E7;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:16;;;;
1520266405.3506587;beacon;20;84:9c:a6:4d:d0:94;8;4;VGV75194DD095;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:25;;;;
1520266405.352506;beacon;20;84:9c:a6:4d:d0:95;8;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:25;;;;
1520266407.2005503;beacon;20;ac:64:62:7e:bd:69;1;4;H369A7EBD69;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:27;;;;
1520266407.2023196;beacon;20;6a:64:62:7e:bd:6a;1;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:27;;;;
1520266408.780161;beacon;20;78:96:82:5e:fe:a4;6;4;louis3100;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:28;;;;
1520266409.8034823;beacon;20;4c:ac:0a:22:bc:75;10;4;GAMVOLL;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:29;;;;
1520266409.8703492;beacon;20;9c:80:df:dd:ed:66;1;4;VGV7519DDED66;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:29;;;;
1520266412.508134;beacon;20;00:1c:10:93:ba:5d;10;4;GAMVOL_GUEST;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:32;;;;
1520266412.5705347;beacon;20;62:ac:0a:22:bc:76;10;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:32;;;;
1520266413.9776573;beacon;20;7a:76:ea:0a:6a:90;1;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:33;;;;
1520266413.980087;beacon;20;d4:76:ea:0a:6a:93;1;4;H369A0A6A93;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:33;;;;
1520266416.991043;beacon;40;00:1d:aa:02:46:e0;6;4;Code Veilig;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:36;;;;
1520266419.8876035;beacon;20;78:96:82:70:62:c4;2;4;H369A7062C4;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:39;;;;
1520266421.1312833;beacon;40;34:31:c4:3f:fa:3d;11;6;FRITZ!Box Fon WLAN 7360;True;True;True;6.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:41;;;;
1520266426.5923417;beacon;20;c8:d7:19:e6:2b:7d;11;4;accesspoint01;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:46;;;;
1520266432.5871441;beacon;40;2c:4d:54:b7:99:10;8;4;H368N88207F_RPT;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:52;;;;
1520266435.0921152;beacon;20;34:4d:ea:88:20:7f;7;4;H368N88207F;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:55;;;;
1520266436.041153;beacon;20;00:25:9c:e1:d6:67;6;4;linksys;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:56;;;;
1520266436.7322032;beacon;20;6a:4d:ea:88:20:7c;8;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:56;;;;
1520266437.5022771;beacon;20;a0:ec:80:47:28:f0;11;4;H368N4728F0;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:13:57;;;;
1520266438.0195093;beacon;20;40:b0:34:b8:9c:f8;8;6;DIRECT-F7-HP ENVY 5540 series;True;True;True;6.0;;;;;True;True;True;True;True;True;True;True;2018-03-05 17:13:58;;;;
1520266440.9681268;beacon;20;14:60:80:65:b5:0e;9;4;H368N65B50E;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:00;;;;
1520266449.5420802;beacon;20;50:7e:5d:75:0e:1a;1;4;VGV7519750E1B;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:09;;;;
1520266449.7333095;beacon;20;cc:ce:1e:1a:67:3a;6;6;nisayv;True;True;True;6.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:09;;;;
1520266451.6438482;beacon;20;74:b5:7e:26:f5:44;3;4;H369A26F544;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:11;;;;
1520266452.4614947;beacon;20;fa:8f:ca:76:ca:38;6;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:14:12;;;;
