timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;24.0;36.0;48.0;54.0;1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;ac_supported;63.5
1520001213.3258247;beacon;20;2c:d0:2d:ed:b2:30;5;6;eduroam;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001213.3749678;beacon;20;2c:d0:2d:ed:b2:32;5;6;tudelft-dastud;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001213.4269373;beacon;20;2c:d0:2d:ed:b2:31;5;6;TUvisitor;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001213.5844016;beacon;20;e8:de:27:58:5b:cc;10;4;TP-LINK_2.4GHz_585BCC;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520001213.8599875;beacon;20;64:09:80:07:59:d2;1;4;Xiaomi_TUD20;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520001214.082443;beacon;20;2c:33:11:31:db:22;13;6;tudelft-dastud;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001214.131588;beacon;20;2c:33:11:31:db:21;13;6;TUvisitor;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001214.242187;beacon;20;2c:33:11:31:db:20;13;6;eduroam;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001247.4443324;beacon;20;2c:d0:2d:ed:9b:20;13;6;eduroam;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001250.651579;beacon;20;2c:d0:2d:ed:9b:24;13;6;tudelft-dastud;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001270.619777;beacon;20;2c:d0:2d:ed:9b:23;13;6;TUvisitor;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001312.6450891;beacon;20;08:96:ad:a0:44:54;9;6;tudelft-dastud;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001549.151798;beacon;20;2c:33:11:31:db:71;13;6;TUvisitor;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001559.1297176;beacon;20;2c:33:11:31:db:72;13;6;tudelft-dastud;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001584.6045938;beacon;20;08:96:ad:a0:44:50;9;6;eduroam;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001585.6115873;beacon;20;2c:33:11:31:db:70;13;6;eduroam;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001697.3480468;beacon;20;08:96:ad:a0:44:53;9;6;TUvisitor;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001837.2261815;beacon;20;2c:33:11:1a:45:41;1;6;TUvisitor;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001840.5195274;beacon;20;2c:33:11:1a:45:42;1;6;tudelft-dastud;True;True;True;24;True;True;True;True;;;;;;;;;;
1520001857.1820557;beacon;20;2c:33:11:1a:45:40;1;6;eduroam;True;True;True;24;True;True;True;True;;;;;;;;;;
1520089834.4455404;beacon;20;c8:3a:35:5d:55:70;6;4;Aditya Chaudhary;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.4784312;beacon;20;64:d1:a3:42:92:5a;6;4;WE BREKEN DE HELE TENT AF!!!!;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.481804;beacon;20;00:1e:e5:00:7d:25;6;4;Trapper;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.5490808;beacon;20;70:4f:57:83:be:be;11;4;1337;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.600355;beacon;20;00:0c:f6:ac:ed:44;11;4;SitecomACED44;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.6240065;beacon;20;c4:6e:1f:fe:40:7c;11;4;Leviathan;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.7161016;beacon;20;00:23:69:2a:63:60;11;4;Nyeh!;True;True;False;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.7664955;beacon;20;e0:51:63:9b:f3:b0;11;4;KPN 79-AP;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.7750611;beacon;20;84:1b:5e:d9:ef:a8;11;4;Marijn;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.7854526;beacon;20;ac:22:05:b2:b4:67;11;4;kattennest;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.7877595;beacon;20;c8:b3:73:48:08:2a;11;4;Pentapussy;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.789812;beacon;20;ae:22:15:b2:b4:67;11;4;Ziggo;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.8881702;beacon;20;70:4f:57:da:2e:0b;2;4;wolkje;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.8996058;beacon;20;08:ea:40:80:b6:2c;2;4;404;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089834.932003;beacon;20;70:4f:57:60:45:29;2;4;TP-Link_4529;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089835.5249434;beacon;20;64:d1:a3:0e:4d:02;7;4;Hoofdkwartier 2.4GHz;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089835.5299249;beacon;20;c0:3f:0e:a9:a5:32;7;4;NETGEAR;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089835.6690056;beacon;20;6a:76:ea:0a:bb:d6;3;4;KPN Fon;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
1520089835.717483;beacon;20;d4:76:ea:0a:bb:d5;3;4;wifihierbeneden;True;True;True;1;True;True;True;True;True;True;True;True;True;True;True;True;;
