timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0;time;ac_supported;22.0
1520288086.654259;beacon;20;74:85:2a:16:ac:f9;1;4;SKP_0fb382;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:46;;
1520288086.8656778;beacon;20;4c:ac:0a:13:bc:48;6;4;H220N13BC48;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:46;;
1520288086.867865;beacon;20;62:ac:0a:13:bc:49;6;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:46;;
1520288086.921874;beacon;20;d4:76:ea:0a:1c:cf;11;4;H369A0A1CCF;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:46;;
1520288086.9236374;beacon;20;7a:76:ea:0a:1c:cc;11;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:46;;
1520288086.940594;beacon;20;38:60:77:9d:73:d7;11;4;SKP_7e949e;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:46;;
1520288087.9927862;beacon;20;74:85:2a:18:d6:9a;1;4;SKP_101f0a;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:47;;
1520288088.0072088;beacon;20;4c:09:d4:32:09:50;1;4;VGV7519320950;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:48;;
1520288088.019025;beacon;20;70:2e:22:86:aa:62;1;4;ARV7519794028;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:48;;
1520288088.4406352;beacon;40;00:1d:aa:c3:30:80;2;4;VFNL-C33080;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:48;;
1520288089.179284;beacon;20;54:22:f8:df:12:43;5;4;H368NDF1243;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:49;;
1520288089.411254;beacon;20;00:14:5c:8c:9d:20;1;4;eminent584;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:49;;
1520288089.7523918;beacon;20;00:23:6c:bf:23:2b;11;4;Airport Extreme Apple ;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:49;;
1520288089.7947192;beacon;20;fc:f5:28:c1:35:bc;11;4;Zy_private_U7Y9PN;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:49;;
1520288090.8493392;beacon;40;00:14:5c:8d:1b:b0;1;4;Eminent;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:50;;
1520288091.8980863;beacon;20;6a:a7:b7:33:c4:d2;9;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:51;;
1520288092.0500655;beacon;20;74:31:70:c9:10:24;10;4;VGV7519C91025;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:52;;
1520288092.287082;beacon;20;f0:9f:c2:2d:40:30;13;4;Biesieklette;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:52;;
1520288092.4873643;beacon;40;5c:6a:80:19:77:18;11;4;ZyXEL70541;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:52;;
1520288092.601705;beacon;20;84:9c:a6:8e:ef:3a;2;4;VGV75198EEF3B;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:52;;
1520288093.546307;beacon;20;e8:40:f2:d7:12:9b;1;4;SKP_626f08;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:53;;
1520288094.4444542;beacon;20;60:31:97:90:86:10;8;4;ZyXEL90860F;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:54;;
1520288095.1211817;beacon;20;74:85:2a:18:46:0a;6;4;SKP_0ffa32;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:55;;
1520288095.2805223;beacon;40;e8:94:f6:d9:3a:e3;11;4;mijn netwerk;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 23:14:55;;
