timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0;time;22.0;ac_supported
1520264069.34534;beacon;40;00:1d:aa:cf:be:20;1;4;DLM-wifi-2.4;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:29;;
1520264069.682312;beacon;20;58:7f:66:1f:46:0c;6;4;VFNL-1F4604;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:29;;
1520264069.755618;beacon;20;88:03:55:cb:dd:86;6;4;VGV7519CBDD86;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:29;;
1520264069.9268749;beacon;20;2a:56:5a:15:63:d8;11;6;HP-Setup>d8-M277 LaserJet;True;True;True;6.0;;;;;True;True;True;True;True;True;True;True;2018-03-05 16:34:29;;
1520264072.2777739;beacon;20;84:9c:a6:8f:13:65;10;4;VGV75198F1365;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:32;;
1520264074.4476695;beacon;20;7a:96:82:43:0b:dc;3;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:34;;
1520264075.1208994;beacon;20;ec:8a:4c:a5:af:82;9;4;H368NA5AF82;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:35;;
1520264076.665081;beacon;40;9c:c7:a6:0b:4f:f3;11;4;FRITZ!Box Fon WLAN 7360;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:36;;
1520264077.3785243;beacon;20;00:0f:94:b3:cc:24;7;4;GNX08CF97;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:37;;
1520264078.0616786;beacon;20;70:9f:2d:9b:1a:f0;8;4;H369A9B1AF0;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:38;;
1520264079.9488356;beacon;20;00:0f:94:b3:cb:f4;11;4;GNX4A8A31;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:39;;
1520264081.1019537;beacon;20;78:96:82:43:0b:df;3;4;Tanteboefie;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:41;;
1520264082.0306282;beacon;20;4c:72:b9:33:01:0f;5;4;SKP_21c432;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:42;;
1520264083.657441;beacon;20;00:0f:94:b3:cb:94;2;4;GNX090220;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:43;;
1520264084.1029077;beacon;20;fa:8f:ca:51:8f:c9;7;4;Bedroom speaker.d007;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:44;;
1520264084.561832;beacon;20;fa:9f:c2:37:c4:7b;8;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:44;;
1520264084.9522378;beacon;20;72:4a:77:59:ba:bf;9;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:44;;
1520264084.9546678;beacon;20;00:4a:77:59:ba:be;9;4;H369A59BABE;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:44;;
1520264085.742562;beacon;20;00:90:d0:ea:aa:26;1;4;Reuser;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:45;;
1520264085.7926464;beacon;20;00:0f:94:b3:cc:54;1;4;wifi_jan_sas;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:45;;
1520264086.332877;beacon;20;9c:3d:cf:44:88:15;6;4;Scorpion II;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:46;;
1520264086.4849482;beacon;20;f2:9f:c2:37:c4:7b;6;4;TERMINAL;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:46;;
1520264086.5513368;beacon;20;32:cd:a7:fd:30:35;11;6;DIRECT-RkM2070 Series;True;True;False;6.0;;;;;True;True;True;True;True;True;True;True;2018-03-05 16:34:46;;
1520264086.5770664;beacon;20;70:2e:22:8d:5c:ed;11;4;H369A8D5CED;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:46;;
1520264086.5788844;beacon;20;6a:2e:22:8d:5c:ee;11;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:46;;
1520264086.6470633;beacon;20;74:85:2a:18:42:9a;11;4;SKP_101f76;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:46;;
1520264087.957066;beacon;20;30:99:35:91:69:94;8;4;BakkerijOostlaan2G;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:47;;
1520264088.3619847;beacon;20;72:2e:22:86:e5:1f;9;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:48;;
1520264088.6164827;beacon;20;ac:86:74:1d:c5:5b;5;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:48;;
1520264089.4880898;beacon;20;f0:9f:c2:27:df:50;13;4;Fratelli-Office;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:49;;
1520264089.7080626;beacon;20;f0:9f:c2:37:c9:74;6;4;TERMINAL;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:49;;
1520264089.791926;beacon;20;fa:9f:c2:37:d1:38;6;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:49;;
1520264089.8206694;beacon;20;f2:9f:c2:27:df:50;11;4;Fratelli-P;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:49;;
1520264090.8566844;beacon;20;7a:68:c8:e5:fa:f8;3;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:50;;
1520264090.8586788;beacon;20;7a:68:c8:e5:fa:f9;3;4;chinapijnacker;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:50;;
1520264090.8609009;beacon;20;8c:68:c8:e5:fa:fb;3;4;bobonghu;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:50;;
1520264091.667504;beacon;20;84:9c:a6:8e:24:a3;9;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:51;;
1520264091.7680845;beacon;20;84:9c:a6:8e:24:a2;9;4;VGV75198E24A3;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:51;;
1520264091.862665;beacon;20;ac:86:74:1c:f3:0a;5;4;SKP Ackershof;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:51;;
1520264092.0732102;beacon;20;ac:86:74:1c:f3:0b;5;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:52;;
1520264092.3906808;beacon;20;38:60:77:9a:8f:7a;1;4;SKP_7ee03a;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:52;;
1520264092.9077466;beacon;20;f6:9f:c2:37:c9:74;6;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:52;;
1520264093.0627685;beacon;20;36:1f:29:fd:f1:e0;6;4;hpsetup;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:53;;
1520264093.1670983;beacon;20;b0:7f:b9:bd:fd:c1;11;4;ReuserGast;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:53;;
1520264095.2962933;beacon;20;f2:9f:c2:37:d1:38;5;4;TERMINAL;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:55;;
1520264095.6980882;beacon;20;d0:60:8c:22:9b:88;1;4;H369A229B88;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:55;;
1520264095.699938;beacon;20;62:60:8c:22:9b:89;1;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:55;;
1520264095.8356974;beacon;20;34:4d:ea:88:d9:fa;1;4;H368N88D9FA;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 16:34:55;;
