timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0;time;ac_supported
1520004741.3498156;beacon;20;2c:33:11:50:2d:20;9;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:32:21;
1520004741.5124507;beacon;20;2c:33:11:1a:43:30;5;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:32:21;
1520004741.5136578;beacon;20;2c:33:11:1a:43:32;5;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:32:21;
1520004741.6565998;beacon;40;c0:4a:00:84:50:a6;10;4;TP-LINK_8450A6;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 16:32:21;
1520004742.046644;beacon;20;58:ef:68:50:86:ee;1;4;SugarTown;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 16:32:22;
1520004742.3705196;beacon;20;28:6f:7f:d1:d4:d1;13;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:32:22;
1520004745.614607;beacon;20;28:6f:7f:d1:d4:d0;13;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:32:25;
1520004747.9218569;beacon;20;2c:33:11:50:2d:21;9;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:32:27;
1520004754.5583863;beacon;20;2c:33:11:50:2d:22;9;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:32:34;
1520004768.9635131;beacon;40;1c:af:f7:7f:6f:c2;6;4;edusloom;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 16:32:48;
1520004794.31272;beacon;20;00:a3:8e:22:9c:62;5;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:14;
1520004794.4536781;beacon;20;2c:30:33:62:07:2b;5;4;zebrolab;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 16:33:14;
1520004794.8993988;beacon;20;2c:33:11:52:23:62;1;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:14;
1520004794.8998506;beacon;20;2c:33:11:52:23:61;1;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:14;
1520004794.9223938;beacon;20;2c:33:11:52:23:60;1;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:14;
1520004798.1300101;beacon;20;2c:33:11:50:2d:00;1;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:18;
1520004800.862341;beacon;20;2c:33:11:43:1d:41;9;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:20;
1520004800.9721842;beacon;20;2c:33:11:1a:43:31;5;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:20;
1520004801.537034;beacon;20;c0:ee:fb:e2:d8:da;1;4;TetherKerpels;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 16:33:21;True
1520004808.169132;beacon;20;06:d6:aa:9c:3b:44;1;4;AndroidAP;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 16:33:28;
1520004808.3330684;beacon;20;28:6f:7f:d1:d4:d2;13;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:28;
1520004808.4452178;beacon;20;08:96:ad:a0:6c:c0;13;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:28;
1520004808.4461193;beacon;20;08:96:ad:a0:6c:c2;13;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:28;
1520004808.447367;beacon;20;08:96:ad:a0:6c:c1;13;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:28;
1520004808.447849;beacon;20;24:01:c7:76:53:41;13;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:28;
1520004811.916087;beacon;40;e8:94:f6:aa:53:5a;6;4;Michiel is welkom;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 16:33:31;
1520004814.1696024;beacon;20;2c:33:11:22:eb:20;5;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:34;
1520004814.1882074;beacon;20;2c:33:11:22:eb:22;5;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:34;
1520004814.1891544;beacon;20;2c:33:11:22:eb:21;5;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:34;
1520004814.682341;beacon;20;2c:33:11:50:2d:02;1;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:34;
1520004814.6859937;beacon;20;2c:33:11:50:2d:01;1;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:34;
1520004814.753652;beacon;20;2c:33:11:50:2c:91;1;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:34;
1520004817.538588;beacon;20;00:a3:8e:22:9c:60;5;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:37;
1520004817.5495496;beacon;20;00:a3:8e:22:9c:61;5;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:37;
1520004817.9997;beacon;20;2c:33:11:50:2c:90;1;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:37;
1520004824.323835;beacon;20;2c:33:11:43:07:41;5;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:44;
1520004824.6873753;beacon;20;2c:33:11:38:ca:92;1;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:44;
1520004824.736539;beacon;20;2c:33:11:38:ca:91;1;6;TUvisitor;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:44;
1520004824.847514;beacon;20;2c:33:11:38:ca:90;1;6;eduroam;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:44;
1520004824.849947;beacon;20;70:db:98:26:7c:52;13;6;tudelft-dastud;True;True;True;24.0;;;;;;True;True;True;;;;True;2018-03-02 16:33:44;
