timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;24.0;36.0;48.0;54.0;time;1.0;2.0;5.5;11.0;9.0;18.0;6.0;12.0;ac_supported
1520004224.550562;beacon;40;c0:4a:00:62:c5:52;1;4;THE FORCE 2.0;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:44;True;True;True;True;True;True;True;True;
1520004224.6438355;beacon;20;14:91:82:80:57:2e;1;4;AdventurousMoose-gast;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:44;True;True;True;True;True;True;True;True;
1520004224.7281744;beacon;40;b8:a3:86:ac:ae:6a;1;4;hakuna;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:44;True;True;True;True;True;True;True;True;
1520004225.3891404;beacon;40;e8:de:27:c0:24:b6;11;4;DeVliegendeHollander;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:45;True;True;True;True;True;True;True;True;
1520004227.8751967;beacon;20;fa:8f:ca:81:3e:14;1;4;;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:47;True;True;True;True;True;True;True;True;
1520004228.7072928;beacon;20;b8:c7:5d:05:6e:3b;11;4;Lars's Wifi;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:48;True;True;True;True;True;True;True;True;
1520004230.149459;beacon;40;e0:3f:49:91:1d:50;4;4;Pong2www;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:50;True;True;True;True;True;True;True;True;
1520004231.2026455;beacon;40;00:14:5c:8d:1d:ac;1;4;Boobs 4 all;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:51;True;True;True;True;True;True;True;True;
1520004231.2856433;beacon;20;c0:56:27:1d:a7:a3;1;4;Free Public Wifi Homespot-guest;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:51;True;True;True;True;True;True;True;True;
1520004231.393159;beacon;20;e4:6f:13:43:70:b4;1;4;Is-this-the-Crusty-Crab;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:51;True;True;True;True;True;True;True;True;
1520004231.7803416;beacon;40;08:10:77:15:81:6a;6;4;Iduna;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:51;True;True;True;True;True;True;True;True;
1520004232.0478501;beacon;20;64:66:b3:16:49:21;11;4;Golden Prick Sky Wire;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:52;True;True;True;True;True;True;True;True;
1520004232.0843737;beacon;20;84:c9:b2:6d:6e:6b;11;4;SVeld;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:52;True;True;True;True;True;True;True;True;
1520004233.1598248;beacon;40;18:d6:c7:85:bf:92;3;4;Top Secret Network ;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:53;True;True;True;True;True;True;True;True;
1520004238.5947905;beacon;40;6c:fd:b9:47:e2:46;11;4;Baby Please Don't Go;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:58;True;True;True;True;True;True;True;True;
1520004238.844381;beacon;20;c0:56:27:82:6b:c8;2;4;DSEA;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:58;True;True;True;True;True;True;True;True;
1520004239.6242778;beacon;40;00:23:69:1e:1b:7a;3;4;boris2;True;True;True;1.0;True;True;True;True;2018-03-02 16:23:59;True;True;True;True;True;True;True;True;
1520004246.215057;beacon;40;00:14:5c:98:22:34;3;4;Eminent;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:06;True;True;True;True;True;True;True;True;
1520004247.5806544;beacon;40;64:d1:a3:05:dd:88;10;4;Sitecom05DD88;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:07;True;True;True;True;True;True;True;True;
1520004247.7002094;beacon;20;70:8b:cd:e9:a8:78;10;4;Rare Geluiden;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:07;True;True;True;True;True;True;True;True;
1520004251.292415;beacon;20;50:c7:bf:22:27:da;1;4;BigMomma;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:11;True;True;True;True;True;True;True;True;
1520004251.9594078;beacon;20;50:c7:bf:09:da:8d;11;4;vlammerdebam;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:11;True;True;True;True;True;True;True;True;
1520004254.1241562;beacon;40;84:16:f9:8e:e8:b2;10;4;TP-Cloudia_W019;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:14;True;True;True;True;True;True;True;True;
1520004254.4156241;beacon;20;b4:75:0e:9f:6f:16;1;4;Jiggos-guest;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:14;True;True;True;True;True;True;True;True;
1520004257.7017787;beacon;20;fa:8f:ca:33:b2:f3;1;4;;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:17;True;True;True;True;True;True;True;True;
1520004257.888513;beacon;20;b4:75:0e:9f:6f:15;1;4;Jiggos;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:17;True;True;True;True;True;True;True;True;
1520004261.097498;beacon;20;14:91:82:80:57:2d;1;4;AdventurousMoose;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:21;True;True;True;True;True;True;True;True;
1520004261.8345642;beacon;20;88:dc:96:05:4a:10;11;4;ZON;True;True;False;1.0;True;True;True;True;2018-03-02 16:24:21;True;True;True;True;True;True;True;True;
1520004263.910797;beacon;40;30:46:9a:17:df:32;5;4;@;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:23;True;True;True;True;True;True;True;True;
1520004264.1139226;beacon;40;c4:6e:1f:e7:f4:c4;10;4;TP-LINK_E7F4C4;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:24;True;True;True;True;True;True;True;True;
1520004264.4737356;beacon;20;28:c6:8e:18:fb:dd;1;4;NETGEAR95;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:24;True;True;True;True;True;True;True;True;
1520004267.8957365;beacon;40;94:10:3e:81:79:ee;1;4;Pauly B;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:27;True;True;True;True;True;True;True;True;
1520004268.335147;beacon;20;00:23:69:55:96:ac;6;4;Vasu_Network;True;True;False;1.0;True;True;True;True;2018-03-02 16:24:28;True;True;True;True;True;True;True;True;
1520004271.1221912;beacon;20;90:f6:52:f2:69:a3;1;4;T.A.R.D.I.S.;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:31;True;True;True;True;True;True;True;True;
1520004276.5946896;beacon;20;24:a4:3c:04:33:73;4;4;Rome;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:36;True;True;True;True;True;True;True;True;
1520004276.8405766;beacon;20;32:cd:a7:97:e8:0b;9;6;DIRECT-ItC410 Series;True;True;False;6.0;True;True;True;True;2018-03-02 16:24:36;;;;;True;True;True;True;
1520004278.3887298;beacon;40;a8:6b:7c:66:68:e8;11;4;360WiFi-6668E8;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:38;True;True;True;True;True;True;True;True;
1520004290.835629;beacon;20;c0:56:27:31:4d:46;1;4;Partysar-guest;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:50;True;True;True;True;True;True;True;True;
1520004294.955855;beacon;40;c0:61:18:96:45:92;11;4;FAST_964592;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:54;True;True;True;True;True;True;True;True;
1520004297.6949608;beacon;20;c0:56:27:31:4d:45;1;4;Partysar;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:57;True;True;True;True;True;True;True;True;
1520004297.9897926;beacon;40;e4:f3:f5:40:4f:2c;6;4;RuiXi;True;True;True;1.0;True;True;True;True;2018-03-02 16:24:57;True;True;True;True;True;True;True;True;
1520004304.2500691;beacon;40;96:10:3e:80:79:ee;1;4;Pauly B-guest;True;True;True;1.0;True;True;True;True;2018-03-02 16:25:04;True;True;True;True;True;True;True;True;
1520004304.4071028;beacon;40;66:38:e0:81:13:4a;13;4;Linksys09175-guest;True;True;True;1.0;True;True;True;True;2018-03-02 16:25:04;True;True;True;True;True;True;True;True;True
1520004304.8522153;beacon;20;00:25:9c:bd:7d:76;6;4;linksys2;True;True;False;1.0;True;True;True;True;2018-03-02 16:25:04;True;True;True;True;True;True;True;True;
1520004311.9344704;beacon;40;e8:94:f6:4f:87:40;2;4;TP-LINK_4F8740;True;True;True;1.0;True;True;True;True;2018-03-02 16:25:11;True;True;True;True;True;True;True;True;
1520004315.0699728;beacon;20;c0:56:27:2c:57:a8;11;4;WiFrry;True;True;True;1.0;True;True;True;True;2018-03-02 16:25:15;True;True;True;True;True;True;True;True;
1520004320.764276;beacon;20;fa:8f:ca:50:ef:7f;1;4;;True;True;True;1.0;True;True;True;True;2018-03-02 16:25:20;True;True;True;True;True;True;True;True;
1520004327.3729804;beacon;20;c8:b3:73:3f:32:cc;1;4;Bonbons;True;True;True;1.0;True;True;True;True;2018-03-02 16:25:27;True;True;True;True;True;True;True;True;
1520004334.6461298;beacon;20;ec:08:6b:5b:02:45;6;4;I\xef\xbf\xbd\xef\xbf\xbdna;True;True;True;1.0;True;True;True;True;2018-03-02 16:25:34;True;True;True;True;True;True;True;True;
1520004351.5116541;beacon;20;f0:d1:a9:0d:98:b4;11;4;Balthasar Neumann Kaserne;True;True;True;1.0;True;True;True;True;2018-03-02 16:25:51;True;True;True;True;True;True;True;True;
1520004364.9929798;beacon;40;74:da:38:73:22:b0;2;4;takeson2.4G;True;True;True;1.0;True;True;True;True;2018-03-02 16:26:04;True;True;True;True;True;True;True;True;
