timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0;time
1519942445.8366356;beacon;20;54:25:ea:7a:e6:ac;7;4;TMNL-7AE6A5;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:05
1519942445.967251;beacon;20;bc:8c:cd:a6:d3:d8;3;4;UPC240429421;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:05
1519942445.9704218;beacon;20;98:f5:37:54:72:ac;3;4;H220N5472AC;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:05
1519942446.1901274;beacon;20;28:ff:3e:1a:7e:31;8;4;H369A1A7E31;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:06
1519942446.1919017;beacon;20;6a:ff:3e:1a:7e:32;8;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:06
1519942446.4145439;beacon;20;04:bf:6d:2f:54:c5;8;4;ZyXEL2F54C4;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:06
1519942446.5007808;beacon;20;5c:a3:9d:c7:0e:68;4;4;MissKit;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:06
1519942446.5052137;beacon;20;14:60:80:76:af:7c;4;4;H368N76AF7C;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:06
1519942446.5069156;beacon;20;6a:60:80:76:af:7d;4;4;KPN Fon;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:06
1519942447.0165706;beacon;40;00:0c:f6:9f:42:90;9;4;Sitecom9F4290;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:07
1519942447.029962;beacon;40;64:d1:a3:3b:4a:df;5;4;JBL2.4;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:07
1519942447.3208742;beacon;20;dc:71:44:ae:3a:58;10;4;UPC244244113;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:07
1519942447.4345067;beacon;40;c4:ea:1d:e6:9d:c7;10;4;TELE2-E69DC7;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:07
1519942447.453937;beacon;20;88:03:55:bd:9c:ce;10;4;VGV7519BD9CCE;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-01 23:14:07
